Date,Time,CO2(mmHg),CRC,
2023-08-24,15:58:44.99,1,32311,
2023-08-24,15:58:45.23,1,16898,
2023-08-24,15:58:45.54,1,29947,
2023-08-24,15:58:45.79,1,2558,
2023-08-24,15:58:46.03,1,56835,
2023-08-24,15:58:46.36,1,35988,
2023-08-24,15:58:46.53,1,64852,
2023-08-24,15:58:46.78,1,42952,
2023-08-24,15:58:47.00,1,64958,
2023-08-24,15:58:47.25,1,1400,
2023-08-24,15:58:47.49,1,34767,
2023-08-24,15:58:47.77,1,52039,
2023-08-24,15:58:48.03,1,60555,
2023-08-24,15:58:48.35,1,9664,
2023-08-24,15:58:48.51,1,8884,
2023-08-24,15:58:48.76,1,14106,
2023-08-24,15:58:49.04,1,1479,
2023-08-24,15:58:49.25,1,14320,
2023-08-24,15:58:49.49,1,46407,
2023-08-24,15:58:49.73,1,13118,
2023-08-24,15:58:50.03,1,14581,
2023-08-24,15:58:50.37,1,7382,
2023-08-24,15:58:50.53,1,7074,
2023-08-24,15:58:50.79,1,14218,
2023-08-24,15:58:51.04,1,53689,
2023-08-24,15:58:51.28,1,55816,
2023-08-24,15:58:51.49,1,24889,
2023-08-24,15:58:51.73,1,59200,
2023-08-24,15:58:51.99,1,16451,
2023-08-24,15:58:52.33,1,46788,
2023-08-24,15:58:52.53,1,31553,
2023-08-24,15:58:52.79,1,22377,
2023-08-24,15:58:53.02,1,38595,
2023-08-24,15:58:53.28,1,47851,
2023-08-24,15:58:53.52,1,46484,
2023-08-24,15:58:53.75,1,41018,
2023-08-24,15:58:53.99,1,8352,
2023-08-24,15:58:54.32,1,24917,
2023-08-24,15:58:54.52,1,44240,
2023-08-24,15:58:54.76,1,8866,
2023-08-24,15:58:55.01,1,44090,
2023-08-24,15:58:55.28,1,7118,
2023-08-24,15:58:55.52,1,5297,
2023-08-24,15:58:55.77,1,60535,
2023-08-24,15:58:55.99,1,33157,
2023-08-24,15:58:56.32,1,438,
2023-08-24,15:58:56.48,1,3785,
2023-08-24,15:58:56.79,1,38575,
2023-08-24,15:58:57.02,1,22277,
